time,price,type
2024-11-28 00:00:00,150.965,low
2024-11-28 03:01:00,151.749,high
2024-11-28 04:20:00,151.345,low
2024-11-28 04:39:00,151.617,high
2024-11-28 05:00:00,151.417,low
2024-11-28 05:47:00,151.718,high
2024-11-28 06:36:00,151.534,low
2024-11-28 07:01:00,151.663,high
2024-11-28 07:35:00,151.481,low
2024-11-28 07:57:00,151.661,high
2024-11-28 08:05:00,151.361,low
2024-11-28 08:40:00,151.651,high
2024-11-28 08:49:00,151.465,low
2024-11-28 09:04:00,151.661,high
2024-11-28 09:21:00,151.54,low
2024-11-28 10:03:00,151.881,high
2024-11-28 10:29:00,151.758,low
2024-11-28 11:20:00,151.947,high
2024-11-28 11:36:00,151.827,low
2024-11-28 12:37:00,151.95,high
2024-11-28 13:05:00,151.759,low
2024-11-28 13:34:00,151.898,high
2024-11-28 14:35:00,151.64,low
2024-11-28 14:56:00,151.782,high
2024-11-28 15:12:00,151.649,low
2024-11-28 15:26:00,151.748,high
2024-11-28 16:31:00,151.48,low
2024-11-28 16:54:00,151.604,high
2024-11-28 17:08:00,151.405,low
2024-11-28 18:04:00,151.574,high
2024-11-28 18:40:00,151.466,low
2024-11-28 19:08:00,151.547,high
2024-11-28 19:50:00,151.457,low
2024-11-28 20:52:00,151.555,high
2024-11-28 21:20:00,151.511,low
2024-11-28 21:40:00,151.549,high
2024-11-28 23:00:00,151.436,low
2024-11-28 23:46:00,151.55,high
2024-11-29 01:48:00,150.981,low
2024-11-29 01:59:00,151.226,high
2024-11-29 03:19:00,149.996,low
2024-11-29 03:34:00,150.265,high
2024-11-29 03:59:00,149.847,low
2024-11-29 04:32:00,150.395,high
2024-11-29 04:46:00,150.047,low
2024-11-29 05:32:00,150.375,high
2024-11-29 06:24:00,149.759,low
2024-11-29 07:01:00,150.101,high
2024-11-29 07:14:00,149.931,low
2024-11-29 07:36:00,150.273,high
2024-11-29 08:00:00,150.067,low
2024-11-29 08:20:00,150.196,high
2024-11-29 09:29:00,149.533,low
2024-11-29 10:24:00,150.273,high
2024-11-29 11:11:00,149.929,low
2024-11-29 11:51:00,150.305,high
2024-11-29 12:01:00,150.118,low
2024-11-29 11:51:00,150.305,high
2024-11-29 12:01:00,150.118,low
2024-11-29 12:17:00,150.363,high
2024-11-29 13:06:00,149.829,low
2024-11-29 13:43:00,150.079,high
2024-11-29 13:47:00,149.938,low
2024-11-29 14:43:00,150.26,high
2024-11-29 16:06:00,149.915,low
2024-11-29 16:19:00,150.159,high
2024-11-29 16:45:00,149.875,low
2024-11-29 18:30:00,150.53,high
2024-11-29 20:08:00,149.463,low
2024-11-29 21:06:00,149.697,high
2024-11-29 21:20:00,149.478,low
2024-11-29 21:42:00,149.649,high
2024-11-29 22:35:00,149.536,low
2024-11-29 23:50:00,149.743,high
2024-12-02 00:00:00,149.598,low
2024-12-02 00:27:00,149.688,high
2024-12-02 00:52:00,149.465,low
2024-12-02 01:41:00,150.069,high
2024-12-02 02:00:00,149.803,low
2024-12-02 02:10:00,150.289,high
2024-12-02 02:30:00,149.976,low
2024-12-02 04:15:00,150.686,high
2024-12-02 04:52:00,150.515,low
2024-12-02 05:24:00,150.744,high
2024-12-02 06:07:00,150.478,low
2024-12-02 06:17:00,150.612,high
2024-12-02 06:26:00,150.435,low
2024-12-02 07:21:00,150.749,high
2024-12-02 07:40:00,150.623,low
2024-12-02 07:56:00,150.742,high
2024-12-02 08:55:00,150.256,low
2024-12-02 09:06:00,150.449,high
2024-12-02 09:46:00,149.99,low
2024-12-02 10:05:00,150.348,high
2024-12-02 10:21:00,150.147,low
2024-12-02 10:34:00,150.378,high
2024-12-02 11:14:00,150.046,low
2024-12-02 11:50:00,150.44,high
2024-12-02 12:24:00,150.244,low
2024-12-02 12:37:00,150.388,high
2024-12-02 13:45:00,150.074,low
2024-12-02 14:02:00,150.172,high
2024-12-02 14:35:00,149.919,low
2024-12-02 15:02:00,150.204,high
2024-12-02 15:22:00,150.076,low
2024-12-02 15:33:00,150.353,high
2024-12-02 16:15:00,149.83,low
2024-12-02 16:31:00,150.095,high
2024-12-02 16:44:00,149.865,low
2024-12-02 17:00:00,150.1,high
2024-12-02 17:07:00,149.721,low
2024-12-02 17:45:00,150.241,high
2024-12-02 18:28:00,149.081,low
2024-12-02 20:20:00,149.79,high
2024-12-02 21:55:00,149.49,low
2024-12-02 22:11:00,149.649,high
2024-12-02 22:32:00,149.226,low
2024-12-02 23:26:00,149.614,high
2024-12-03 01:00:00,149.5,low
2024-12-03 01:28:00,149.824,high
2024-12-03 01:59:00,149.495,low
2024-12-03 02:31:00,149.918,high
2024-12-03 02:51:00,149.772,low
2024-12-03 02:55:00,149.932,high
2024-12-03 03:15:00,149.595,low
2024-12-03 04:24:00,149.997,high
2024-12-03 04:57:00,149.789,low
2024-12-03 05:29:00,149.994,high
2024-12-03 05:37:00,149.863,low
2024-12-03 06:31:00,150.22,high
2024-12-03 06:47:00,150.105,low
2024-12-03 07:03:00,150.238,high
2024-12-03 07:57:00,149.99,low
2024-12-03 08:24:00,150.168,high
2024-12-03 09:37:00,149.872,low
2024-12-03 09:43:00,150.065,high
2024-12-03 10:02:00,149.876,low
2024-12-03 10:12:00,150.185,high
2024-12-03 10:32:00,149.823,low
2024-12-03 10:49:00,149.961,high
2024-12-03 11:02:00,149.775,low
2024-12-03 11:33:00,149.956,high
2024-12-03 12:00:00,149.766,low
2024-12-03 13:05:00,150.108,high
2024-12-03 14:03:00,149.661,low
2024-12-03 14:27:00,149.874,high
2024-12-03 16:41:00,148.642,low
2024-12-03 17:09:00,149.145,high
2024-12-03 17:32:00,148.756,low
2024-12-03 18:28:00,149.521,high
2024-12-03 18:46:00,149.082,low
2024-12-03 19:25:00,149.511,high
2024-12-03 19:40:00,149.352,low
2024-12-03 19:49:00,149.477,high
2024-12-03 21:04:00,148.965,low
2024-12-03 21:58:00,149.538,high
2024-12-03 22:25:00,149.401,low
2024-12-03 23:16:00,149.564,high
2024-12-03 23:40:00,149.508,low
2024-12-03 23:59:00,149.631,high
2024-12-04 00:36:00,149.549,low
2024-12-04 01:14:00,149.702,high
2024-12-04 02:06:00,149.521,low
2024-12-04 02:35:00,149.835,high
2024-12-04 02:46:00,149.679,low
2024-12-04 03:15:00,150.077,high
2024-12-04 03:38:00,149.681,low
2024-12-04 03:56:00,149.965,high
2024-12-04 05:20:00,149.624,low
2024-12-04 06:30:00,150.172,high
2024-12-04 06:53:00,149.881,low
2024-12-04 08:03:00,150.167,high
2024-12-04 08:28:00,149.899,low
2024-12-04 08:45:00,150.057,high
2024-12-04 08:51:00,149.859,low
2024-12-04 09:31:00,150.436,high
2024-12-04 09:50:00,150.237,low
2024-12-04 10:06:00,150.543,high
2024-12-04 10:47:00,150.298,low
2024-12-04 11:31:00,150.781,high
2024-12-04 11:49:00,150.531,low
2024-12-04 12:08:00,150.802,high
2024-12-04 12:30:00,150.662,low
2024-12-04 12:22:00,150.789,high
2024-12-04 12:30:00,150.662,low
2024-12-04 13:16:00,151.047,high
2024-12-04 13:41:00,150.776,low
2024-12-04 15:04:00,151.228,high
2024-12-04 15:41:00,150.8,low
2024-12-04 15:56:00,151.14,high
2024-12-04 17:28:00,150.382,low
2024-12-04 17:33:00,150.68,high
2024-12-04 18:32:00,150.054,low
2024-12-04 19:01:00,150.243,high
2024-12-04 19:25:00,149.992,low
2024-12-04 19:41:00,150.224,high
2024-12-04 20:42:00,150.038,low
2024-12-04 21:02:00,150.599,high
2024-12-04 21:18:00,150.291,low
2024-12-04 21:26:00,150.448,high
2024-12-04 21:32:00,150.222,low
2024-12-04 22:40:00,150.671,high
2024-12-04 23:01:00,150.486,low
2024-12-04 23:44:00,150.655,high
2024-12-05 00:30:00,150.429,low
2024-12-05 01:12:00,150.777,high
2024-12-05 02:29:00,150.3,low
2024-12-05 02:51:00,150.437,high
2024-12-05 02:59:00,150.191,low
2024-12-05 03:18:00,150.374,high
2024-12-05 03:30:00,150.185,low
2024-12-05 03:35:00,150.68,high
2024-12-05 05:27:00,150.195,low
2024-12-05 06:43:00,150.427,high
2024-12-05 08:55:00,149.659,low
2024-12-05 09:29:00,150.025,high
2024-12-05 10:04:00,149.653,low
2024-12-05 11:28:00,150.284,high
2024-12-05 11:44:00,150.137,low
2024-12-05 12:00:00,150.32,high
2024-12-05 12:27:00,150.207,low
2024-12-05 12:31:00,150.351,high
2024-12-05 12:59:00,150.088,low
2024-12-05 13:21:00,150.238,high
2024-12-05 13:55:00,150.041,low
2024-12-05 14:32:00,150.506,high
2024-12-05 15:30:00,150.195,low
2024-12-05 15:54:00,150.696,high
2024-12-05 16:15:00,150.398,low
2024-12-05 16:30:00,150.598,high
2024-12-05 16:44:00,150.275,low
2024-12-05 17:00:00,150.505,high
2024-12-05 17:12:00,150.28,low
2024-12-05 17:44:00,150.489,high
2024-12-05 18:09:00,150.164,low
2024-12-05 18:14:00,150.34,high
2024-12-05 18:40:00,150.101,low
2024-12-05 18:59:00,150.219,high
2024-12-05 19:09:00,150.075,low
2024-12-05 19:23:00,150.191,high
2024-12-05 19:37:00,150.072,low
2024-12-05 20:30:00,150.348,high
2024-12-05 21:03:00,149.975,low
2024-12-05 21:25:00,150.099,high
2024-12-05 21:52:00,149.921,low
2024-12-05 22:09:00,150.096,high
2024-12-05 22:29:00,149.951,low
2024-12-05 23:06:00,150.125,high
2024-12-06 00:19:00,149.988,low
2024-12-06 02:13:00,150.275,high
2024-12-06 02:53:00,149.862,low
2024-12-06 03:30:00,150.178,high
2024-12-06 03:40:00,150.03,low
2024-12-06 03:53:00,150.223,high
2024-12-06 04:08:00,149.916,low
2024-12-06 04:32:00,150.028,high
2024-12-06 05:12:00,149.768,low
2024-12-06 07:09:00,150.066,high
2024-12-06 07:55:00,149.875,low
2024-12-06 08:06:00,150.019,high
2024-12-06 08:45:00,149.77,low
2024-12-06 09:28:00,150.169,high
2024-12-06 09:54:00,150.049,low
2024-12-06 12:33:00,150.697,high
2024-12-06 13:53:00,150.474,low
2024-12-06 14:02:00,150.659,high
2024-12-06 14:47:00,150.369,low
2024-12-06 15:29:00,150.583,high
2024-12-06 16:05:00,149.555,low
2024-12-06 16:21:00,149.888,high
2024-12-06 16:31:00,149.361,low
2024-12-06 17:20:00,150.043,high
2024-12-06 17:38:00,149.802,low
2024-12-06 18:11:00,150.115,high
2024-12-06 18:40:00,149.679,low
2024-12-06 19:24:00,150.042,high
2024-12-06 19:35:00,149.878,low
2024-12-06 20:11:00,150.046,high
2024-12-06 20:45:00,149.881,low
2024-12-06 21:20:00,150.134,high
2024-12-06 22:03:00,149.952,low
2024-12-06 22:38:00,150.056,high
2024-12-06 23:16:00,149.947,low
2024-12-06 23:54:00,150.058,high
2024-12-09 00:04:00,149.908,low
2024-12-09 00:15:00,150.04,high
2024-12-09 01:09:00,149.855,low
2024-12-09 01:49:00,150.049,high
2024-12-09 02:42:00,149.693,low
2024-12-09 03:03:00,149.945,high
2024-12-09 03:33:00,149.749,low
2024-12-09 03:47:00,150.054,high
2024-12-09 04:01:00,149.889,low
2024-12-09 04:24:00,149.989,high
2024-12-09 04:53:00,149.86,low
2024-12-09 05:40:00,150.037,high
2024-12-09 06:53:00,149.842,low
2024-12-09 07:15:00,149.969,high
2024-12-09 07:32:00,149.879,low
2024-12-09 08:22:00,150.189,high
2024-12-09 08:41:00,150.045,low
2024-12-09 09:16:00,150.243,high
2024-12-09 09:32:00,150.111,low
2024-12-09 10:35:00,150.523,high
2024-12-09 11:01:00,150.348,low
2024-12-09 11:16:00,150.489,high
2024-12-09 11:33:00,150.349,low
2024-12-09 11:45:00,150.487,high
2024-12-09 11:56:00,150.386,low
2024-12-09 12:13:00,150.484,high
2024-12-09 12:20:00,150.352,low
2024-12-09 13:26:00,150.505,high
2024-12-09 13:47:00,150.386,low
2024-12-09 15:14:00,150.95,high
2024-12-09 15:42:00,150.743,low
2024-12-09 16:13:00,150.92,high
2024-12-09 16:32:00,150.698,low
2024-12-09 17:34:00,151.245,high
2024-12-09 18:10:00,150.968,low
2024-12-09 19:07:00,151.324,high
2024-12-09 19:27:00,151.198,low
2024-12-09 19:59:00,151.346,high
2024-12-09 20:08:00,151.232,low
2024-12-09 20:43:00,151.325,high
2024-12-09 21:48:00,151.184,low
