time,open,high,low,close,tick_volume,spread,real_volume,BASE_SMA,up_down,pivot
2025-02-17 19:09:00,151.441,151.445,151.437,151.44,26,0,0,151.4368,False,
2025-02-17 19:10:00,151.44,151.44,151.428,151.436,38,0,0,151.4366,False,
2025-02-17 19:11:00,151.436,151.441,151.43,151.431,34,0,0,151.43635,False,
2025-02-17 19:12:00,151.431,151.436,151.429,151.436,30,0,0,151.4367,True,
2025-02-17 19:13:00,151.436,151.438,151.429,151.429,14,0,0,151.4361,False,
2025-02-17 19:14:00,151.429,151.432,151.428,151.429,22,0,0,151.43554999999998,False,
2025-02-17 19:15:00,151.429,151.429,151.414,151.419,26,1,0,151.43495000000001,False,
2025-02-17 19:16:00,151.419,151.422,151.398,151.407,30,0,0,151.43394999999998,False,
2025-02-17 19:17:00,151.407,151.41,151.406,151.406,15,0,0,151.4327,False,
2025-02-17 19:18:00,151.406,151.409,151.405,151.406,21,2,0,151.43130000000002,False,
2025-02-17 19:19:00,151.406,151.414,151.395,151.414,22,1,0,151.43005,False,
2025-02-17 19:20:00,151.414,151.42,151.406,151.406,29,0,0,151.42825,False,
2025-02-17 19:21:00,151.406,151.409,151.404,151.407,23,0,0,151.42665,False,
2025-02-17 19:22:00,151.407,151.41,151.392,151.394,40,2,0,151.42440000000002,False,
2025-02-17 19:23:00,151.394,151.397,151.384,151.386,32,2,0,151.42165000000003,False,
2025-02-17 19:24:00,151.386,151.387,151.37,151.384,33,0,0,151.4192,False,
2025-02-17 19:25:00,151.384,151.387,151.376,151.386,41,0,0,151.41680000000002,False,
2025-02-17 19:26:00,151.386,151.387,151.372,151.381,43,0,0,151.4138,False,
2025-02-17 19:27:00,151.381,151.39,151.38,151.389,23,0,0,151.41135000000003,False,
2025-02-17 19:28:00,151.389,151.397,151.384,151.394,17,1,0,151.409,False,
2025-02-17 19:29:00,151.395,151.414,151.394,151.412,26,1,0,151.4076,False,
2025-02-17 19:30:00,151.413,151.415,151.406,151.409,16,0,0,151.40625,False,
2025-02-17 19:31:00,151.409,151.41,151.406,151.408,18,1,0,151.4051,False,
2025-02-17 19:32:00,151.408,151.411,151.395,151.411,34,2,0,151.40384999999998,False,
2025-02-17 19:33:00,151.411,151.414,151.403,151.404,16,0,0,151.40259999999998,False,
2025-02-17 19:34:00,151.404,151.43,151.403,151.427,34,2,0,151.4025,False,
2025-02-17 19:35:00,151.427,151.441,151.426,151.438,30,0,0,151.40345,True,
2025-02-17 19:36:00,151.438,151.44,151.431,151.437,18,0,0,151.40495,True,
2025-02-17 19:37:00,151.437,151.44,151.435,151.437,16,0,0,151.4065,True,
2025-02-17 19:38:00,151.437,151.437,151.415,151.43,24,3,0,151.4077,True,
2025-02-17 19:39:00,151.43,151.436,151.429,151.436,17,0,0,151.40879999999999,True,
2025-02-17 19:40:00,151.436,151.44,151.431,151.44,29,0,0,151.4105,True,
2025-02-17 19:41:00,151.44,151.449,151.438,151.441,32,0,0,151.4122,True,
2025-02-17 19:42:00,151.441,151.446,151.438,151.441,19,0,0,151.41455000000002,True,
2025-02-17 19:43:00,151.441,151.451,151.439,151.443,47,0,0,151.4174,True,
2025-02-17 19:44:00,151.443,151.445,151.443,151.445,25,0,0,151.42045,True,
2025-02-17 19:45:00,151.445,151.445,151.438,151.44,38,1,0,151.42315,True,
2025-02-17 19:46:00,151.44,151.44,151.438,151.438,11,1,0,151.426,True,
2025-02-17 19:47:00,151.438,151.44,151.427,151.436,35,2,0,151.42835,True,
2025-02-17 19:48:00,151.436,151.439,151.43,151.434,22,0,0,151.43035,True,
2025-02-17 19:49:00,151.434,151.435,151.432,151.434,15,0,0,151.43144999999998,True,
2025-02-17 19:50:00,151.434,151.435,151.431,151.433,25,0,0,151.43265000000002,True,
2025-02-17 19:51:00,151.433,151.434,151.423,151.423,24,0,0,151.43339999999998,True,
2025-02-17 19:52:00,151.423,151.427,151.423,151.426,6,0,0,151.43415,True,
2025-02-17 19:53:00,151.426,151.427,151.419,151.422,29,1,0,151.43505,True,
2025-02-17 19:54:00,151.422,151.422,151.417,151.42,29,0,0,151.4347,False,
2025-02-17 19:55:00,151.42,151.422,151.415,151.418,24,0,0,151.4337,False,
2025-02-17 19:56:00,151.418,151.421,151.412,151.412,26,0,0,151.43245,False,
2025-02-17 19:57:00,151.412,151.417,151.401,151.401,23,0,0,151.43065,False,
2025-02-17 19:58:00,151.401,151.402,151.373,151.376,34,1,0,151.42794999999998,False,
2025-02-17 19:59:00,151.376,151.393,151.367,151.386,56,0,0,151.42545,False,
2025-02-17 20:00:00,151.386,151.388,151.375,151.378,33,0,0,151.42235,False,
2025-02-17 20:01:00,151.378,151.384,151.372,151.384,19,0,0,151.4195,False,
2025-02-17 20:02:00,151.384,151.401,151.384,151.401,28,0,0,151.4175,False,
2025-02-17 20:03:00,151.401,151.401,151.396,151.4,19,0,0,151.41535,False,
2025-02-17 20:04:00,151.4,151.4,151.383,151.39,41,0,0,151.4126,False,
2025-02-17 20:05:00,151.39,151.39,151.386,151.386,9,0,0,151.4099,False,
2025-02-17 20:06:00,151.386,151.405,151.386,151.398,42,2,0,151.40789999999998,False,
2025-02-17 20:07:00,151.398,151.401,151.397,151.4,32,1,0,151.40609999999998,False,
2025-02-17 20:08:00,151.4,151.401,151.396,151.396,5,2,0,151.4042,False,
2025-02-17 20:09:00,151.396,151.4,151.396,151.4,7,1,0,151.40249999999997,False,
2025-02-17 20:10:00,151.4,151.415,151.398,151.415,13,1,0,151.40159999999997,False,
2025-02-17 20:11:00,151.415,151.417,151.415,151.417,5,1,0,151.4013,False,
